Team,Time,Date,Winner,No Show?,Round
Galactia vs Orbit,19:00:00,12/6/2013,Orbit,,1
PvPLeague vs PvPeeps,8:00:00,12/7/2013,TIE,PvPLeague,1
Rebellion vs PvPeeps,9:15:00,12/7/2013,Rebellion,,1
Turquaars vs The Unloved Miners,10:30:00,12/7/2013,Turquaars,,1
Legacy vs Ender Fox,10:30:00,12/7/2013,Ender Fox,Legacy,1
Dauntless vs PvPeeps,10:30:00,12/7/2013,Dauntless,,1
Team Fishy vs Legacy,12:00:00,12/7/2013,Team Fishy,Legacy,1
Ender Fox vs Erudite,12:00:00,12/7/2013,TIE,,1
Storm vs Bloodplayers,12:00:00,12/7/2013,Storm,Bloodplayers,1
Resilience vs Blaze Face,12:00:00,12/7/2013,Resilience,,1
Angry Lambs vs Bad Intentions,12:00:00,12/7/2013,Angry Lambs,,1
Loading... vs CyBlast,12:00:00,12/7/2013,Loading...,Cyblast,1
Crayola vs BlowUp!,12:00:00,12/7/2013,BlowUp!,Crayola (Dropped out),1
Team Fishy vs Ender Fox,13:15:00,12/7/2013,Team Fishy,,1
Legacy vs Erudite,13:15:00,12/7/2013,Erudite,Legacy,1
Resilience vs Bad Intentions,13:15:00,12/7/2013,Resilience,,1
Angry Lambs vs Blaze Face,13:15:00,12/7/2013,Angry Lambs,,1
Bloodplayers vs Turquaars,13:15:00,12/7/2013,Turquaars,Bloodplayers,1
LungGlove vs CyBlast,13:15:00,12/7/2013,LungGlove,Cyblast,1
Resilience vs Angry Lambs,14:30:00,12/7/2013,Angry Lambs,,1
Bad Intentions vs Blaze Face,14:30:00,12/7/2013,Bad Intentions,,1
Storm vs Turquaars,14:30:00,12/7/2013,TIE,,1
Bloodplayers vs The Unloved Miners,14:30:00,12/7/2013,The Unloved Miners,Bloodplayers,1
Team Fishy vs Erudite,14:30:00,12/7/2013,Team Fishy,,1
The Noobs vs Heavy Falcons,14:30:00,12/7/2013,The Noobs,Heavy Falcons,1
Blaze Rod vs CyBlast,14:30:00,12/7/2013,Blaze Rod,CyBlast,1
Fracture vs Mid-Michigan Murderers,14:30:00,12/7/2013,Fracture,,1
Dauntless vs Rebellion,14:30:00,12/7/2013,TIE,,1
Looting III vs No Chance,14:30:00,12/7/2013,Looting III,,1
Instant Crash vs Ragers,14:30:00,12/7/2013,Instant Crash,,1
Storm vs The Unloved Miners,16:00:00,12/7/2013,Storm,,1
Game Mode 1 vs Fracture,16:00:00,12/7/2013,Game Mode 1,,1
Assassinssoul vs Mid-Michigan Murderers,16:00:00,12/7/2013,TIE,Assassin Soul,1
Lastfist vs The Noobs,16:00:00,12/7/2013,TIE,The Noobs,1
Frozensouls vs Heavy Falcons,16:00:00,12/7/2013,Frozensouls,Heavy Falcons,1
Instant Crash vs Killerscraft,16:00:00,12/7/2013,Instant Crash,,1
Starfish vs Unacceptable Behavior,16:00:00,12/7/2013,Starfish,,1
Team Bloodhounds vs Stained Glass,16:00:00,12/7/2013,Stained Glass,,1
Jaeger vs FusionServer,16:00:00,12/7/2013,Jaeger,,1
Sabertooth vs Sharpness X,16:00:00,12/7/2013,Sabertooth,Sharpness X,1
Game Mode 1 vs Mid-Michigan Murderers,17:15:00,12/7/2013,Game Mode 1,,1
Fracture vs Assassinssoul,17:15:00,12/7/2013,Fracture,AssassinSoul,1
