"NextGeneration","Block Glitch",
"Building Blox","BloodyLions",
"Team CacaFuego","AirCrash",
"CraftYourDeath","Leviathan",
"The Unloved Miners","EleKtro",
"Team Brainfart","Concatenation",
"PentaKillers","Padlock",
"Game Mode 1","Afternoon Tea",
"Proximity","Blaze Face",
"Nemesis","Pony Swag",
"Open Islanders","TheJackHammers",
"Ender Fox","Stained Glass",
"Mindcool","Entity",
"TheRaptors","PureBlocks",
"Drifters","ProtectionX",
"LogisticGamers","Dynasty",
"Storm","Boltato",
"Outliers","Virus",
"GameOver","SentsFromHeaven",
"Minexus ^^","Cloud City",
"VortexRush","FreeStyle",
"LastFist","FireFoxes",
"Deluxe","Eclipse",
"Jaeger","Fracture",
"Bone Breakers","Assassin's Soul",
"Ambush","Team Grief",
"Starfish","Vindicate",
"Team Fishy","Space Monkey Mafia",
"Orbit","Looting III",
"Wolves In Quebec","Punishers",
"Turquaars","Bacon Warriors",
"Impact","Sexy Squad",
"Instant Crash","SquadCat",
"LunGGlove","Tactical Info",
